name,name_en,type,address,address_en,timetable,timetable_en,phone,mon,tue,wed,thu,fri,sat,sun,open_time,close_time
Замын-Үүд тооцооны төв,Zamiin-Uud Branch,branch,"Замын-Yүд сум, 1-р баг, 10-р хэсэг, Төв талбай, ХасБанкны байр
3 үгт хаяг: /// бүрдэл.хувийг.бяруу","Xacbank building, Central square, 10th section, 1st bag, Zamiin-Uud soum
What3Words: /// ungracious.outcast.cakewalk","Даваа - Баасан: 8:30-16:30
Бямба, Ням: Амарна","Monday - Friday: 8:30am-4:30pm
Saturday, Sunday: Сlosed",1800-1888,1,1,1,1,1,0,0,08:30:00,16:30:00
Цогтцэций тооцооны төв,Tsogttsetsii Branch,branch,"Цогтцэций сум, Цэций баг, ХасБанкны байр
3 үгт хаяг: /// баярлав.хорвоод.авирлаж","XacBank building, Tsetsii bag, Tsogttsetseii soum
What3Words: /// finds.intimates.aerobics","Даваа - Баасан: 8:30-16:30
Бямба, Ням: Амарна","Monday - Friday: 8:30am-4:30pm
Saturday, Sunday: Сlosed",1800-1888,1,1,1,1,1,0,0,08:30:00,16:30:00
Гранд тооцооны төв,Grand branch,branch,"Баянгол дүүрэг, 2-р хороо, Энхтайваны өргөн чөлөө-46, ""Гранд плаза"" худалдааны төв, B1 давхарт
3 үгт хаяг: /// нартай.зөндөө.өмсөх","B1 floor, Grand Plaza shopping center, 2nd khoroo, Enkhtaivan Avenue, Bayangol district 
What3Words: /// wept.skies.logbook","Даваа - Баасан: 08:30-16:30
Бямба, Ням: Амарна","Monday - Friday: 08:30am-4:30pm
Saturday, Sunday: Сlosed",1800-1888,1,1,1,1,1,0,0,08:30:00,16:30:00
Долоон буудал Тооцооны төв,Doloon Buudal Branch,branch,"Сүхбаатар дүүрэг, 14-р хороо, /7 буудал/, Хүсэлт Төвийн 2 давхарт 
3 үгт хаяг: /// амтлах.хийлгэх.авсан","2nd floor, Khuselt Center, /7 buudal/, 14th khoroo, Sukhbaatar District
What3Words: /// mural.dividing.behaving","Даваа - Баасан: 8:30-16:30
Бямба, Ням: Амарна","Monday - Friday: 8:30am-4:30pm
Saturday, Sunday: Сlosed",1800-1888,1,1,1,1,1,0,0,08:30:00,16:30:00
21-р хороолол тооцооны төв,21st microdistrict branch,branch,"Сонгинохайрхан дүүрэг, 6-р хороо, Содон хороолол  /18062/, үйлдвэрчний эвлэлийн гудамж 101-р байр 101 тоот
3 үгт хаяг: /// дуулав.ажиглаж.тойм","Building no.101, #101, Sodon khoroolol, 6th khoroo, Songinohairhan district 
What3Words: /// paints.fights.dimension","Даваа - Баасан: 8:30-16:30
Бямба, Ням: Амарна","Monday - Friday: 8:30am-4:30pm
Saturday, Sunday: Сlosed",1800-1888,1,1,1,1,1,0,0,08:30:00,16:30:00
Хүчитшонхор тооцооны төв,Huchit Shonhor Branch,branch,"Чингэлтэй дүүрэг, 11-р хороо, Дэнжийн мянгын 58, ""Хүчит Шонхор"" ХХК-ийн байр /""Хүчитшонхор"" зах дотор/
3 үгт хаяг: /// үлдээх.сайшаал.цуглах","Khuchit Shonhor LLC building, 11th khoroo, Chingeltei District
What3Words: /// cabs.choppers.disprove","Даваа - Баасан: 8:30-16:30
Бямба, Ням: Амарна","Monday - Friday: 8:30am-4:30pm
Saturday, Sunday: Сlosed",1800-1888,1,1,1,1,1,0,0,08:30:00,16:30:00
Төв Талбай Салбар,Central Square Branch,branch,"Сүхбаатар дүүрэг, 8-р хороо, Ерөнхий сайд Амарын гудамж, ХасБанкны төв байр /Сүхбаатарын талбайн зүүн талд/
3 үгт хаяг: /// тоох.эхэлжээ.цамхагт","XacBank head office, Prime Minister Amar's Street, Sukhbaatar district
What3Words: /// teaching.placidly.each","Даваа - Баасан: 8:30-16:30
Бямба, Ням: Амарна","Monday - Friday: 8:30am-4:30pm
Saturday, Sunday: Сlosed",1800-1888,1,1,1,1,1,0,0,08:30:00,16:30:00
Сансар салбар,Sansar branch,branch,"Баянзүрх дүүрэг, 3-р хороо, 13-р хороолол, Энхтайваны өргөн чөлөө, ""СиАрИ"" ХХК-ийн байр /Зүүн 4 замын баруун хойно, Эрүүл Мэндийн хүрээлэнгийн урд талд/
3 үгт хаяг: /// үйлдэв.дуулах.бүжгээр","CRE LLC building, 13th khoroolol , 3th khoroo, Bayanzurkh District
What3Words: /// iterative.pave.clarifies","Даваа - Баасан: 8:30-16:30
Бямба, Ням: Амарна","Monday - Friday: 8:30am-4:30pm
Saturday, Sunday: Сlosed",1800-1888,1,1,1,1,1,0,0,08:30:00,16:30:00
Хонгор тооцооны төв,Hongor Branch,branch,"Баянхонгор сум, 1-р  баг, ""Цэлмэг өглөө"" худалдааны төвийн 2-р давхарт
3 үгт хаяг: /// давж.хэдийг.хацартай","2nd floor, Tselmeg Ugluu shopping center, 1st bag, Bayankhongor soum
What3Words: /// roofing.bluffed.uproots","Даваа - Баасан: 10:00-18:00
Бямба, Ням: Амарна","Monday - Friday: 10:00am-6:00pm
Saturday, Sunday: Сlosed",1800-1888,1,1,1,1,1,0,0,10:00:00,18:00:00
Бор-Өндөр тооцооны төв,Bor-Undur ,branch,"Хэнтий аймаг,Бор-Өндөр сумын 2-р баг, ХасБанкны байр
3 үгт хаяг: /// зөөгөөд.айлчлалууд.дугаар","XacBank building, 2nd bag, Bor-Undur soum
What3Words: /// cadet.narrated.zygotes","Даваа - Баасан: 8:30-16:30
Бямба, Ням: Амарна","Monday - Friday: 8:30am-4:30pm
Saturday, Sunday: Сlosed",1800-1888,1,1,1,1,1,0,0,08:30:00,16:30:00
Ханбогд Тооцооны төв,Hanbogd Branch,branch,"Ханбогд сум, Цаг-Уурын-2 гудамж, 6 тоот, Их Өлзийт төвийн 2-р давхарт
3 үгт хаяг: /// далайн.хураах.итгэмжлэл","Ikh Ulziit center 2nd floor, Tsag Uur-2 street, #8, Khanbogd soum
What3Words: /// sharpens.ladles.worthier","Даваа - Баасан: 8:30-16:30
Бямба, Ням: Амарна","Monday - Friday: 8:30am-4:30pm
Saturday, Sunday: Сlosed",1800-1888,1,1,1,1,1,0,0,08:30:00,16:30:00
Хан-Уул тооцооны төв,Han-Uul Branch,branch,"Хан-Уул дүүрэг, 2-р хороо, BSB megamall-н баруун талд Ноос Импекс ХХК-н үйлчилгээний байрны 1 давхарт
3 үгт хаяг: /// хэвлий.ээлжлэх.элээх","1st floor of Noos Impex building, 2nd khoroo, Khan-Uul district
What3Words: /// headed.legroom.arrival","Даваа - Баасан: 8:30-16:30
Бямба, Ням: Амарна","Monday - Friday: 8:30am-4:30pm
Saturday, Sunday: Сlosed",1800-1888,1,1,1,1,1,0,0,08:30:00,16:30:00
Налайх салбар,Nalaih Branch,branch,"Налайх дүүрэг, 2-р хороо, Дамдины гудамж, Хасбанкны  байр
3 үгт хаяг: /// оосор.цэгт.хэмнэлттэй","XacBank building, 2nd horoo, Damdin street, Nalaikh district
What3Words: /// psychotics.martyr.canal","Даваа - Баасан: 8:30-16:30
Бямба, Ням: Амарна","Monday - Friday: 8:30am-4:30pm
Saturday, Sunday: Сlosed",1800-1888,1,1,1,1,1,0,0,08:30:00,16:30:00
Ард салбар,Ard Branch,branch,"Чингэлтэй дүүрэг, 1-р хороо, Худалдааны гудамж, Бага тойруу-1, Цэцэг төвийн 2-р давхарт
3 үгт хаяг: ///шидтэн.хоршоо.үнэнч","2nd floor of Flower center, 1st horoo, Baga toiruu, Chingeltei district
What3Words: ///butlers.verse.gazes","Даваа - Баасан: 8:30-16:30
Бямба, Ням: Амарна","Monday - Friday: 8:30am-4:30pm
Saturday, Sunday: Сlosed",1800-1888,1,1,1,1,1,0,0,08:30:00,16:30:00
Түшиг салбар,Tushig Branch,branch,"Сүхбаатар дүүрэг, 4-р хороо, Сөүлийн гудамж, ""Түшиг"" төвийн 1 давхарт
3 үгт хаяг: /// соёлч.баримтлах.тавилга","1st floor, Tushig center, Seoul street, 4th horoo, Sukhbaatar district
What3Words: /// joys.ally.reduction","Даваа - Баасан: 8:30-16:30
Бямба, Ням: Амарна","Monday - Friday: 8:30am-4:30pm
Saturday, Sunday: Сlosed",1800-1888,1,1,1,1,1,0,0,08:30:00,16:30:00
Зуун айл тооцооны төв,Zuun ail branch,branch,"Сүхбаатар дүүрэг, 10-р хороо,  Цагдаагийн  гудамж, ""АМО төв""-ийн 1-р давхар
3 үгт хаяг: /// өсгөлт.тойруу.чангаанз","1st floor, AMO center, Police street, 10th khoroo, Sukhbaatar district
What3Words: /// cuddling.acting.crisp","Даваа - Баасан: 8:30-16:30
Бямба, Ням: Амарна
","Monday - Friday: 8:30am-04:30pm
Saturday, Sunday: Сlosed",1800-1888,1,1,1,1,1,0,0,08:30:00,16:30:00
Яармаг тооцооны төв,Yarmag Branch,branch,"ХУД, 5-р хороо, Яармаг, Наадамчдын зам 929, Хоорс Моторс, 2-р давхарт
3 үгт хаяг: ///буцах.хэвээрээ.тэгшлэх","Horse Motors, Naadamchid road 929, Yarmag, 5th khoroo, Khan-Uul district
What3Words: ///results.poses.puzzled","Даваа - Баасан: 8:30-16:30
Бямба, Ням: Амарна","Monday - Friday: 8:30am-4:30pm
Saturday, Sunday: Сlosed",1800-1888,1,1,1,1,1,0,0,08:30:00,16:30:00
Өнөр тооцооны төв,Unur Branch,branch,"Сонгинохайрхан дүүрэг, 17-р хороо, 1-р хороолол, Москвагийн өргөн чөлөө АОС-43/Б байр /Хархорин, Сандэй-2 худалдааны төвийн замын хойд талд/ 
3 үгт хаяг: /// нийлэмж.торго.зохистой","Building, АОС-43/B, 1st khoroolol, 17th horoo, Moscow Avenue, Songinokhairkhan 
What3Words: /// swooning.moderated.unique","Даваа - Баасан: 8:30-16:30
Бямба, Ням: Амарна","Monday - Friday: 8:30am-4:30pm
Saturday, Sunday: Сlosed",1800-1888,1,1,1,1,1,0,0,08:30:00,16:30:00
ХасБанк төв байр ATM,KhasBank Central ATM,atm,"8-р хороо, Ерөнхий сайд Амарын гудамж 
/Сүхбаатарын талбайн зүүн талд, ХасБанк төв байр/","Micro-region #8, Prime Minister Amar`s Street, XacBank HQ Building",24 цаг,24 hour,1800-1888,1,1,1,1,1,1,1,00:00:00,23:59:00
Оргил салбар,Orgil Branch,branch,"Хан-Уул дүүрэг, 15-р хороо, Үйлдвэр зайсангийн гудамж-21, ""Газар шилтгээн"" цогцолборын 2-р давхарт /Зайсан, ""Оргил"" худалдааны төв, 2-р давхарт/
3 үгт хаяг: /// үнэлгээ.урих.цэцгэн"," 2nd floor, ""Gazar Shiltgeen"" Complex,15th horoo, Khan-Uul district /Zaisan, ""Orgil"" Marketplace, 2nd floor/
What3Words: /// splashes.duos.shuttling","Даваа - Баасан: 08:30-16:30
Бямба, Ням: Амарна","Monday - Friday: 08:30am-04:30pm
Saturday, Sunday: Сlosed",1800-1888,1,1,1,1,1,0,0,08:30:00,16:30:00
Чойр салбар,Choir Branch,branch,"Говьсүмбэр аймаг, Сүмбэр сум, 3-р баг, 4-р байр /Онцгой байдлын газрын эсрэг талд/
3 үгт хаяг: /// товлох.цомогт.тойруу","Apartment 4, 3rd bag, Sumber Soum, Gobisumber aimag 
What3Words: /// feline.stopover.handstands","Даваа - Баасан: 8:30-16:30
Бямба, Ням: Амарна","Monday - Friday: 8:30am-4:30pm
Saturday, Sunday: Сlosed",1800-1888,1,1,1,1,1,0,0,08:30:00,16:30:00
Хархорин тооцооны төв,Harhorin Branch,branch,"Хархорин сум, Ганган-Орхон баг, Эрдэнэзуугийн гудамж, ХасБанкны байр 
3 үгт хаяг: /// дахилт.зүүв.хоромд","XacBank building, Erdenezuu street, Gangan-Orkhon bag, Harhorin soum
What3Words: /// broadest.solid.jarred","Даваа - Баасан: 8:30-16:30
Бямба, Ням: Амарна","Monday - Friday: 8:30am-4:30pm
Saturday, Sunday: Сlosed",1800-1888,1,1,1,1,1,0,0,08:30:00,16:30:00
Зүүнхараа тооцооны төв,Zuunharaa Branch,branch,"Мандал сум, 3-р баг, ХасБанкны байр
3 үгт хаяг: /// танилцах.олно.салаа","XacBank building, 3rd bag, Mandal soum, 
What3Words: /// spout.cooking.smirking","Даваа - Баасан: 8:30-16:30
Бямба, Ням: Амарна","Monday - Friday: 8:30am-4:30pm
Saturday, Sunday: Сlosed",1800-1888,1,1,1,1,1,0,0,08:30:00,16:30:00
Хөтөл тооцооны төв,Hutul Branch,branch,"Сайхан сум, 2-р баг, 15-р байр
3 үгт хаяг: /// өртгөөр.хэвлэмэл.тэлж","15th building, Central street, Sayhan soum
What3Words: /// cashews.pantomimed.kidneys","Даваа - Баасан: 8:30-16:30
Бямба, Ням: Амарна","Monday - Friday: 8:30am-4:30pm
Saturday, Sunday: Сlosed",1800-1888,1,1,1,1,1,0,0,08:30:00,16:30:00
Тосонцэнгэл тооцооны төв,Tosontsengel Branch,branch,"Тосонцэнгэл сум, Худалдааны гудамж, ХасБанкны байр
3 үгт хаяг: /// сурсаар.бүрж.алдар","XacBank building, Hudaldaa street, Tosontsengel soum
What3Words: /// recapture.early.geek","Даваа - Баасан: 8:30-16:30
Бямба, Ням: Амарна","Monday - Friday: 8:30am-4:30pm
Saturday, Sunday: Сlosed",1800-1888,1,1,1,1,1,0,0,08:30:00,16:30:00
ХасБанк Төв салбар ATM,XacBank Central Branch ATM,atm,"1-р хороо, Энхтайваны өргөн чөлөө, Чингүнжавын гудамж
/Боловсролын Их Сургуулийн замын урд/","Micro-region #1, Peace avenue, Chingunjav str. XacBank Central Branch",24 цаг,24 hour,1800-1888,1,1,1,1,1,1,1,00:00:00,23:59:00
Баянгол Техникийн Хяналтын үзлэгийн төв,KHUSUG TRADE AUTO ONSHILGOO ATM,atm,"29-р хороо, ТЭЦ-4-ийн зам
/Хөсөг трейд Баянгол Техникийн Хяналтын үзлэгийн төв/",KHUSUG TRADE AUTO ONSHILGOO,Даваа-Ням: 10-18 цаг,Mon-Sun: 10:00-18:00,1800-1888,1,1,1,1,1,1,1,10:00:00,18:00:00
УБ их дэлгүүр ATM,Ulaanbaatar Department Store ATM,atm,"4-р хороо, Энхтайваны өргөн чөлөө
/Энхтайван найрамдлын ордны замын урд/","Micro-region #4, Peace Avenue, Ulaanbaatar Department Store",Даваа-Ням: 09-20 цаг,Mon-Sun: 9:00-20:00,1800-1888,1,1,1,1,1,1,1,09:00:00,20:00:00
100 айл салбар ATM,XacBank 100 ail Branch ATM,atm,"10-р хороо, Цагдаагийн гудамж
/100 айл/","Micro-region #10, Tsagdaa str, XacBank 100 ail Branch","Даваа гарагт амарна.
Бусад өдөр 10-19 цаг","Monday closed.
Tue-Sun:10:00-19:00 ",1800-1888,0,1,1,1,1,1,1,10:00:00,19:00:00
Их-Орд лоби зарлага ATM,Ikh ord lobby,atm,"14-р хороо, Их Орд төв
/Халдвартын эмнэлэгийн баруун талд/","Micro-region # 14, Ikh ord tuv",Даваа-Ням: 24 цаг,Mon-Sun: 24 hour,1800-1888,1,1,1,1,1,1,1,06:00:00,23:59:00
Хүсэл төв ATM,Khusel center ATM,atm,"14-р хороо, Хандгайтын гудамж, 7 буудал","Micro-region #14, Khandgait str,  7-n Buudal, Khusel center",Даваа-Ням: 08-24 цаг,Mon-Sun 08 am-12 pm,1800-1888,1,1,1,1,1,1,1,08:00:00,23:59:00
Миний дэлгүүр ATM,Minii delguur market ATM,atm,"14-р хороо, Бэлхийн зам, Дамбадаржаа","Micro-region # 14, Belhi rd, Dambadarjaa, Minii delguur market",Даваа-Ням: 08-21 цаг,Mon-Sun 08:00-21:00,1800-1888,1,1,1,1,1,1,1,08:00:00,21:00:00
И-Март Хан-Уул орлого АТМ,E-Mart Khan-Uul Express CRM-ATM,atm,"15-р хороо, Стадион Оргил (17011), Их монгол улсын гудамж 71, Имарт Хан-Уул","15th khoroo, Ikh Mongol street 71, E-Mart Khan-Uul",09:00-22:00,09:00am-10:00pm,1800-1888,1,1,1,1,1,1,1,09:00:00,22:00:00
1-р төрөх эмнэлэг АТМ,First maternity hospital ATM,atm,"1-р хороо, 1-р төрөх эмнэлэг","1st khoroo, First maternity hospital",Даваа-Ням: 24 цаг,Mon-Sun: 24 hours,1800-1888,1,1,1,1,1,1,1,00:00:00,23:59:00
Ачлал дэлгүүр ATM,Achlal center ATM,atm,"14-р хороо, Ард Аюушийн өргөн чөлөө, 3-р хороолол","Micro-region #14, Ard Ayush avenue,  District #3, Achlal center",Даваа-Ням: 10-20 цаг,Mon-Sun: 10:00-20:00 ,,1,1,1,1,1,1,1,10:00:00,20:00:00
Цирк Авто Тээврийн Үндэсний төв,CIRCUS ATUT АТМ,atm,"2-р хороо, 220 мянгат Цирк, АТҮТ ","2th khoroo, 220k, Circus ATUT, 1st floor ",Даваа-Баасан 08:30-17:30 цаг,08:30-17:30 hour,1800-1888,1,1,1,1,1,0,0,08:30:00,17:30:00
Баянгол салбар ATM,XacBank Bayangol Branch ATM,atm,"13-р хороо, Ард Аюушийн өргөн чөлөө
3-р хороолол Өргөө Кино театрын баруун талд","Micro-region #13, Ard Ayush avenue,  District #3, XacBank Bayangol Branch",Даваа-Ням 24/7,Mon-Sun 24 hour,1800-1888,1,1,1,1,1,1,1,08:00:00,23:59:00
Архангай Бүрэн хайпермаркет ATM,Arkhangai Buren hypermarket ATM,atm,Архангай Цэцэрлэг хот,Arkhangai Tsetserleg,Даваа-Ням: 10-21 цаг,Mon-Sun 10:00-21:00 ,,1,1,1,1,1,1,1,10:00:00,21:00:00
Старс дэлгүүр ATM,Stars Center ATM,atm,"2-р хороо, Энхтайваны өргөн чөлөө, 
ТБД Андууд","Micro-region #2, Peace Avenue, Stars Center",Даваа-Ням: 10-21 цаг,Mon-Sun 10:00-21:00 ,,1,1,1,1,1,1,1,10:00:00,21:00:00
УБ Төмөр замын буудал ATM,Ulaanbaatar Railway Staion ATM,atm,"1-р хороо, Нарны зам, Вокзал","Micro-region #1, Narnii Rd, Ulaanbaatar Railway Staion",Даваа-Ням: 08-23 цаг,Mon-Sun 08:00-23:00,,1,1,1,1,1,1,1,08:00:00,23:00:00
Төмөр замын эмнэлэг АТМ,Ulaanbaatar Railway Hospital ATM,atm,"4-р хороо, Энхтайваны өргөн чөлөө","Micro-region #4, Peace Avenue, Ulaanbaatar Railway Hospital",Даваа-Ням: 08-20 цаг,Mon-Sun: 08:00-20:00 ,,1,1,1,1,1,1,1,08:00:00,20:00:00
Орхон зах ATM,Orkhon Market ATM,atm,"19-р хороо, Энхтайваны өргөн 
Кокүшүю Тауэрын баруун талд ","Micro-region #19, Peace Avenue, Orkhon Market","Даваа-Ням: 10-20 цаг
Пүрэв гарагт амарна","Mon-Sun: 10:00-20:00
Thu: Closed ",,1,1,1,0,1,1,1,10:00:00,20:00:00
Ефес бөөний төв ATM,Efes market ATM,atm,"6-р хороо, Энхтайваны өргөн чөлөө, 10-р хороолол","Micro-region #6, Peace Avenue, District #10, Efes market",Даваа-Ням: 09-23 цаг,Mon-Sun 09:00-23:00,1800-1888,1,1,1,1,1,1,1,09:00:00,23:00:00
Баянзүрх товчоо Сансар сүлжээ маркет АТМ,Bayanzurkh tovchoo Sansar suljee market,atm,"28-р хороо, 22 товчоо"," 22 tovchoo, Sansar suljee market",Даваа-Ням: 08-22 цаг,Mon-Sun: 08:00-22:00 ,,1,1,1,1,1,1,1,08:00:00,23:00:00
М Март модны-2 Экспресс ATM,M mart Express ATM,atm,"17-р хороо, Дилавхутагт Жамсранжавын гудамж
Модны 2 , Стрингс Клубын хойд тал","Micro-region #17, Dilav Khutagt Jamsranjav str, Max supermarket",Даваа-Ням: 08-23 цаг,Mon-Sun 08:00-23:00,,1,1,1,1,1,1,1,08:00:00,23:00:00
Жанжин клуб ATM,Janjin club ATM,atm,"12-р хороо, Жанжин 18-р гудамж
Жанжин клуб","Micro-region #12, Janjin club",24 цаг,24 hour,,1,1,1,1,1,1,1,00:00:00,23:59:00
Телевиз Алдар ATM,Saruul Market ATM,atm,"11-р хороо, Телевиз, Алдар трейд","11rd khoroo, Televiz, Aldar trade",24 цаг,24 hour,1800-1888,1,1,1,1,1,1,1,00:00:00,23:59:00
Оргил тооцооны төв Экспресс ATM,XacBank Orgil branch Express ATM,atm,"1-р хороо, Зайсангийн зам, Оргил Шилггээн, 
Оргил тооцооны төвийн 1 давхарт","Micro-region #1, Zaisan Road, Orgil Center, XacBank Orgil branch",Даваа-Ням: 09-22 цаг,Mon-Sun 9:00-22:00 ,1800-1888,1,1,1,1,1,1,1,09:00:00,22:00:00
Хан-Уул салбар ATM,XacBank Khan-Uul Branch ATM,atm,"3-р хороо, Чингисийн өргөн чөлөө
Хан-Уул дүүрэг цагаан хаалга","Micro-region #3, Chinggis Avenue, XacBank Khan-Uul Branch",24 цаг,24 hour,1800-1888,1,1,1,1,1,1,1,00:00:00,23:59:00
Яармаг Дэлгэр хангай Экспресс ATM,Delgerkhangai center Express ATM,atm,"6-р хороо, Яармаг эцсийн буудал","Micro-region #6, Yarmag, Delgerkhangai center",Даваа-Ням: 09-20 цаг,Mon-Sun 09:00-20:00,1800-1888,1,1,1,1,1,1,1,09:00:00,20:00:00
Буянт-Ухаа зах ATM,Buyant-Ukhaa market ATM,atm,"9-р хороо, Нисэх хороолол, Буянт-Ухаа зах","Micro-region #9, Nisekh District, Buyant-Ukhaa market",Даваа-Ням: 10-21 цаг,Mon-Sun: 10:00-21:00 ,1800-1888,1,1,1,1,1,1,1,10:00:00,21:00:00
